Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
0,Own Home,482087,,0,11,26.3,685960,1,,1,debt consolidation,Short Term,99999999,47386,7914,749,0
1,Own Home,1025487,10+ years,0,15,15.3,1181730,0,,0,debt consolidation,Long Term,264968,394972,18373,737,1
2,Home Mortgage,751412,8 years,0,11,35,1182434,0,,0,debt consolidation,Short Term,99999999,308389,13651,742,0
3,Own Home,805068,6 years,0,8,22.5,147400,1,,1,debt consolidation,Short Term,121396,95855,11338,694,0
4,Rent,776264,8 years,0,13,13.6,385836,1,,0,debt consolidation,Short Term,125840,93309,7180,719,0
5,Rent,,7 years,0,12,14.6,366784,0,,0,other,Long Term,337304,165680,18692,,1
6,Home Mortgage,1511108,10+ years,0,9,20.3,388124,0,73,0,home improvements,Short Term,99999999,51623,2317,745,0
7,Rent,1040060,10+ years,0,13,12,330374,0,18,0,other,Short Term,250888,89015,19761,705,1
8,Home Mortgage,,5 years,0,17,15.7,0,1,,1,home improvements,Short Term,129734,19,17,,0
9,Home Mortgage,,1 year,0,10,24.6,511302,0,6,0,debt consolidation,Long Term,572880,205333,17613,,1
10,Home Mortgage,,< 1 year,0,7,11.5,256322,0,,0,debt consolidation,Short Term,220858,187492,14592,,0
11,Home Mortgage,1828560,4 years,0,12,17.6,839080,0,,0,debt consolidation,Short Term,441100,402914,15528,737,0
12,Home Mortgage,933432,10+ years,0,8,14,443608,0,,0,debt consolidation,Short Term,337766,315305,19446,706,0
13,Rent,2066364,10+ years,0,11,17.7,1654026,0,,0,debt consolidation,Long Term,549780,1037077,21869,728,1
14,Own Home,2258796,7 years,0,11,17.7,1602546,0,,0,other,Short Term,185262,1374327,58352,748,0
15,Rent,848464,10+ years,0,9,18.4,296186,0,,0,debt consolidation,Short Term,145134,41439,12939,727,0
16,Rent,,7 years,0,6,17.8,899492,0,,0,debt consolidation,Long Term,313038,538346,18844,,1
17,Home Mortgage,3361898,3 years,0,14,28.5,1042096,0,,0,debt consolidation,Long Term,498872,689396,52249,644,1
18,Home Mortgage,1401744,2 years,0,9,29,387222,0,40,0,debt consolidation,Long Term,553586,201989,13434,695,1
19,Rent,1020072,2 years,0,6,12.5,199078,0,,0,debt consolidation,Short Term,309672,120517,14451,712,1
20,Home Mortgage,1651993,10+ years,0,11,26.5,663894,0,44,0,debt consolidation,Long Term,585090,252852,8742,697,0
21,Home Mortgage,1047394,6 years,0,7,34.4,401104,0,45,0,debt consolidation,Short Term,324852,183597,7786,719,1
22,Rent,463790,,0,6,28.3,288442,0,,0,debt consolidation,Short Term,99999999,157700,5063,738,0
23,Own Home,,10+ years,0,17,14.8,700040,0,17,0,debt consolidation,Short Term,174878,168074,17132,,1
24,Own Home,,,0,12,25,1216336,0,61,0,debt consolidation,Short Term,467676,818311,37530,,0
25,Rent,1353142,10+ years,0,3,29.8,1231912,0,,0,other,Short Term,108042,1036279,22225,720,0
26,Home Mortgage,951425,2 years,0,20,15.8,748880,0,,0,other,Short Term,66110,285874,17046,742,0
27,Rent,1004055,8 years,0,7,14.5,328394,0,,0,debt consolidation,Short Term,99999999,195966,6041,734,0
28,Home Mortgage,711094,10+ years,0,12,19.5,533808,0,,0,debt consolidation,Short Term,155782,262314,13807,740,0
29,Rent,,10+ years,0,9,18.6,186494,0,6,0,debt consolidation,Short Term,357918,72808,22352,,1
30,Rent,612750,7 years,0,8,14,225016,1,,1,debt consolidation,Short Term,99999999,147687,6128,719,0
31,Own Home,1289796,10+ years,0,11,20.5,845548,0,,0,debt consolidation,Long Term,99999999,640433,26549,708,0
32,Home Mortgage,1526840,10+ years,0,19,25,1303082,0,14,0,debt consolidation,Short Term,265188,495178,28247,726,1
33,Home Mortgage,,< 1 year,0,13,21,101464,0,11,0,other,Short Term,79464,60287,14003,,1
34,Rent,1899050,3 years,0,6,10.2,802692,0,,0,take a trip,Short Term,43978,550430,21839,722,0
35,Rent,,< 1 year,0,9,31.4,1457104,0,32,0,buy a car,Short Term,155474,254201,7020,,0
36,Home Mortgage,,6 years,0,8,14.5,409222,0,14,0,other,Long Term,667458,206758,18846,,1
37,Rent,,5 years,0,13,18,608652,0,,0,debt consolidation,Short Term,122936,221825,10806,,1
38,Rent,1395645,6 years,0,15,17.6,1480182,0,75,0,debt consolidation,Short Term,120670,58805,10200,750,0
39,Home Mortgage,852017,7 years,3,12,7.6,337722,3,,0,debt consolidation,Short Term,175384,160417,21868,727,1
40,Rent,709821,10+ years,0,13,23.7,339724,0,65,0,debt consolidation,Long Term,246004,198341,14670,670,1
41,Rent,1350349,10+ years,0,20,15,763422,0,10,0,debt consolidation,Short Term,241230,306584,9014,721,0
42,Own Home,,4 years,0,22,10.9,625042,0,28,0,debt consolidation,Long Term,326810,300675,13844,,1
43,Home Mortgage,,10+ years,0,10,9.4,348678,0,,0,debt consolidation,Short Term,191136,165927,12031,,1
44,Have Mortgage,1334256,10+ years,0,17,15.4,380052288,1,35,0,take a trip,Short Term,33110,656450,34357,729,0
45,Home Mortgage,,10+ years,0,10,21.4,1104554,1,,1,debt consolidation,Long Term,774092,595251,28897,,0
46,Home Mortgage,1721457,10+ years,0,6,27.3,263604,0,6,0,debt consolidation,Short Term,99999999,121353,23527,723,0
47,Own Home,,5 years,0,18,18,1447468,0,,0,debt consolidation,Short Term,215490,612541,24039,,0
48,Home Mortgage,,8 years,0,14,18.7,252670,0,29,0,home improvements,Long Term,323796,94696,25005,,1
49,Rent,,5 years,0,8,17,181742,0,13,0,debt consolidation,Short Term,355344,108300,19012,,1
50,Rent,665931,3 years,0,6,22.2,279642,0,,0,debt consolidation,Long Term,220308,181127,9379,716,0
51,Home Mortgage,1521672,3 years,0,12,10.4,900878,0,,0,debt consolidation,Short Term,132154,242744,20416,742,1
52,Rent,916560,3 years,0,8,9.5,564168,0,,0,debt consolidation,Short Term,265320,183198,13137,744,0
53,Home Mortgage,2276808,10+ years,0,19,34.4,1685794,0,8,0,debt consolidation,Long Term,768922,267881,13889,707,0
54,Home Mortgage,,10+ years,0,7,17.6,293766,1,71,1,debt consolidation,Short Term,175516,149948,3767,,1
